Model name,Manufacturer,Description,Type,Year released,Height,Depth,Width,Weight,Housing material,Power,Operating power: min. [V]:,Operating power: max. [V]:,Power consumption,Internal power supply:,External power supply:,Internal Battery,Certifications:,Rechargeable with (auto)battery :,Direct car connection cable available :,Environment,Minimum Operating Temperature,Maximum Operating Temperature,Humidity resistance:,Water sand and dust proof:,Shock and vibration proof:,ROHS compliance,WEEE compliance,Performance,No. channels:,Max. simultaneous tracked channels:,Tracked satellite signals:,SBAS differential signals:,Type of measurements:,Reacqisition time [s]:,RTK Network Compatibility:,MRS functionality:,Horizontal uncertainity,code: DGNSS/RTC (constant part) [m]:,code: DGNSS/RTC (variable part) [ppm]:,phase: RTK rapid static (constant part) [m]:,phase: RTK rapid static (variable part) [ppm]:,phase: RTK kinematic (constant part) [m]:,phase: RTK kinematic (variable part) [ppm]:,phase: static post processing (constant part) [m]:,phase: static post processing (variable part) [ppm]:,phase: kinematic post processing (constant part) [m]:,phase: kinematic post processing (variable part) [ppm]:,Initialization time on the fly [s]:,Range on the fly [km]:,RTK network solution methods:,Recording,Memory medium :,Data capacity [MB]:,Type of data (on board recording):,Data input :,Communication: general,Communication ports:,Simultaneous links:,PPS Out:,Bluetooth :,Communication: links,Radio modems :,GSM; UMTS phone modems:,CDMA phone modems:,Landline modems:,Communication: Protocols,RTCM standards for differential data:,CMR standards for differential data:,Other formats for differential data:,NMEA output format:,other output formats:,L-Band Compatible:,Configuration method :,More information,Distinguishable features :
SGR6-S,Seabed,NA,NA,2013,0.055,0.185,0.185,1.4,Anodised Aluminium,,9,36,3.5,NA,12,NA,CE,NA,Yes,,-40,85,95% non-condensing,Yes,Yes,Y,Y,,240,240,"GPS - L1; L2; L2C; L5
GLONASS - L1; L2; L2C
Galileo - E1; E5a; E5b; AltBOC
BeiDou - B1; B2
SBAS
QZSS - L1; L2C; L5
L-Band",WAAS; EGNOS,Full wavelength carrier phase; C/A; P; C,0.5,Y,Y,,0.4,NA,0.01,1,0.01,1,0.005,1,0.005,1,5,60,CMR; RTCA; RTCMV3; CMR+,,on-board memory,4000,ASCII - Binair,PC - keyboard,,"COM 1;2;3;4;5;6
Ethernet
USB",Y,Y,N,,External,External,External,External,,All,CMR; CMRPLUS,RTCA; NovAtel-X,All,NA,Y,PC software; web interface,,Single GNSS Receiver
SGR6-D,Seabed,NA,NA,2013,0.055,0.185,0.185,1.4,Anodised Aluminium,,9,36,3.5,NA,12,NA,CE,NA,Yes,,-40,85,95% non-condensing,Yes,Yes,Y,Y,,240,240,"GPS - L1; L2; L2C; L5
GLONASS - L1; L2; L2C
Galileo - E1; E5a; E5b; AltBOC
BeiDou - B1; B2
SBAS
QZSS - L1; L2C; L5
L-Band",WAAS; EGNOS,Full wavelength carrier phase; C/A; P; C,0.5,Y,Y,,0.4,NA,0.01,1,0.01,1,0.005,1,0.005,1,5,60,CMR; RTCA; RTCMV3; CMR+,,on-board memory,4000,ASCII - Binair,PC - keyboard,,"COM 1;2;3;4;5;6
Ethernet
USB",Y,Y,N,,External,External,External,External,,All,CMR; CMRPLUS,RTCA; NovAtel-X,All,NA,Y,PC software; web interface,,Fully intergrated GNSS heading receiver
GRS-1 (Superceded),Topcon,NA,NA,2009,0.215,0.053,0.09,0.77,Polycarbonate,,8,15,5.3,Li-ion 2500 mAh 7.4 V; replacable (BT-66Q),Y,5,FCC; IC; CE,Y,Y,,-20,50,95% non-condensing,IP66,1 meter pole drop,NA,Y,,226,112,GPS L1/L2; GLONASS: L1/L2,WAAS; EGNOS; MSAS,Carrier phase (full wavelength); C/A; P,1,Y,NA,,0.5,NA,0.003,0.8,0.01,1,NA,NA,NA,NA,NA,50,VRS; FKP; MAC and RTCM,,Inbuilt; SDHC,2000,TPS; NMEA; RTCM; CMR and BINEX,3 keys (ESC; ENT and Power); SIP keyboard,,Wireless LAN; Serial port; USB; external antenna connectors; SDHC card slot,Y,NA,Y,,Arwest UHF; Satel UHF; Topcon FH915+ (External radio),GSM; GPRS; EDGE; UMTS (Internal),CDMA for US; WCDMA for Japan (Internal),via serial connection,,version 2.x; 3.0,CMR; CMR+,TPS,version 2.1; 2.2; 2.3; 3.0,NA,NA,NA,,NA
HiPer V,Topcon,NA,NA,2012,0.095,0.184,0.184,1,Magnesium Alloy,,6.7,18,4,Detachable; Li-ion rechargeable battery; 7.2V; 4.3,Y,7.5,FCC; CE; IC,Y,NA,,-40,65,100% Condensing,IP67 (IEC 60529:2001); Protected against temporary,2m Pole Drop,Y,Y,,226,112,GPS; GLONASS,WAAS; EGNOS; MSAS; QZSS,Carrier; Code,1,Y,NA,,0.5,NA,NA,NA,0.01,1,0.003,0.5,0.01,1,15,50,VRS; FKP; RTCM3,,SD/SDHC card,32768,TPS; NMEA; RTCM; CMR/CMR+,1 key,,RS-232C,NA,NA,Y,,UHF (Tx/Rx); FH915+,HSPA (3.5G) backward compatible w/ GPRS/EDGE (GSM),Internal CDMA (US only),NA,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,TPS,version 2.1; 2.2; 2.3; 3.0,NA,NA,NA,,Multi-lingual voice navigation
NET-G3A,Topcon,NA,NA,2009,0.093,0.275,0.166,3,Aluminium,,6,28,4.5,2 Li-ion batteries: 6000 mAh 7.4 V,Input voltage 6 to 28V DC,NA,FCC; IC; CE,Y,Y,,-40,65,100% non-condensing,IP-67; MIL STD 810F,NA,NA,Y,,144,72,GPS L1/L2/L5; GLONASS: L1/L2; GALILEO: E1/E5a signals for Giove A/B,WAAS; EGNOS,Carrier phase (full wavelength); C/A; P,1,Y,NA,,0.25,NA,NA,NA,0.01,1,0.003,0.5,NA,NA,NA,50,VRS; FKP; MAC and RTCM,,Compact Flash Card; USB host/device,32768,TPS; NMEA; RTCM; CMR and BINEX,2 Keys,,4 serial (RS-232); 1 USB (Mini-B); 1 USB (Type A); 1 Ethernet (RJ45); 1PPS; Event Marker; Ext. Frequency,Y,Y,N,,N,GSM; GPRS; EDGE; UMTS (External),Y (External),via serial connection,,version 2.x; 3.0,CMR; CMR+,TPS,version 2.1; 2.2; 2.3; 3.0; 3.01,NA,NA,NA,,Internal radio and MSK beacon receiver options. Precise network RTK receiver with web user interface access via internet
Tesla RTK (Superseded),Topcon,NA,NA,2012,0.22,0.051,0.136,1,Magnesium Alloy,,6,28,NA,Li-ion 2550 mAh 7.4 V; 2 batteries; warm-swappable,NA,16,FCC; IC; CE; ETSI; UL; FM,Y,Y,,-30,60,NA,Yes; IP67,1.2m pole drop; MIL-STD-810G,Y,Y,,72,72,GPS:  L1/L2; GLONASS: L1/L2,WAAS; EGNOS; MSAS,Carrier phase (full wavelength); C/A; P,NA,Y,NA,,0.5,NA,0.003,0.5,0.01,1,0.003,0.5,NA,NA,NA,NA,VRS; FKP; MAC and RTCM,,Internal and SDHC,4096,TPS; NMEA; RTCM; CMR and BINEX,5.7 Colour ; Touchscreen; 15 keys & direction pad,,serial (RS-232); USB,NA,NA,Y,,External,GSM; GPRS; EDGE; UMTS (External),NA,via serial connection,,version 2.x; 3.0,CMR; CMR+,TPS,version 2.1; 2.2; 2.3; 3.0,NA,NA,Internal Interface,,NA
HiPer SR,Topcon,The field-rugged and fully-integrated HiPer SR GNSS base and rover receiver delivers a 300m working base-to-rover radius through Topcon LongLink technology; the innovative wireless data link developed specifically for the HiPer SR; providing reliable and interference-free and license-free RTK communications.,NA,2012,0.064,0.15,0.15,0.85,Magnesium Alloy,,6.5,30,2,Li-ion 5000 mAh 7.5 V,Input: 100-240vAC; 50-60Hz; 0.8A,15,FCC; IC; CE; ETSI; UL; FM,Y,Y,,-20,65,100% non-condensing,Waterproof,2 meter pole drop,Y,Y,,226,226,GPS L1/L2; GLONASS L1/l2; QZSS; SBAS,WAAS; EGNOS; MSAS,Carrier phase (full wavelength); C/A; P,1,Y,NA,,0.4,NA,0.003,0.8,0.01,1,0.003,0.5,0.01,1,NA,50,VRS; FKP; MAC and RTCM,,Internal (Not removable),2048,TPS; NMEA; RTCM; CMR/CMR+,1 key (Power),,1 x serial (RS-232); 1 x USB,NA,NA,Y,,LongLINKTM Wireless Communications,via serial connection / Bluetooth,via serial connection / Bluetooth,via serial connection,,version 2.x; 3.x,CMR; CMR+,TPS,version 2.1; 2.2; 2.3; 3.0,NA,NA,PC software,,Cable-free Base & Rover solution with LongLink 300m+ range; up to 3 simultaneous rovers.
GR-5,Topcon,With advanced Topcon technologies at the heart of the GR-5 receiver; you can be assured of 24/7 signal coverage and operation for your site teams. Vanguard ensures that you are receiving all signals; all of the time and Fence Antenna∂© technology makes sure the signals are processed; even in the most adverse of locations.,NA,2010,0.253,0.158,0.158,1.88,Magnesium,,9,21,4.2,Dual hot swapable Li-ion batteries: 3900 mAh 7.2 V,Use standard charger for external AC or DC power,14,FCC; IC; CE,Y,Y,,-30,70,95% non-condensing,IP66,2 meter pole drop,Y,Y,,226,112,GPS L1/L2/L5; GLONASS L1/L2; GALILEO; Beidou (BDS),WAAS; EGNOS; MSAS L1 code & carrier; QZSS,Carrier phase (full wavelength); C/A code; P code,1,Y,NA,,0.25,NA,NA,NA,0.01,1,0.003,0.5,NA,NA,1,50,VRS; FKP; MAC and RTCM,,SD / SDHC (removable),32768,TPS; NMEA; RTCM; CMR and BINEX,2 Keys,,Serial RS-232 and USB,Y,NA,Y,,Digital UHF; Satel UHF; Topcon FH915+,HSPA; CDMA; No GSM,CDMA for US,via serial connection,,version 2.x; 3.0,CMR; CMR+,TPS,version 2.1; 2.2; 2.3; 3.0,NA,NA,NA,,Hot swappable batteries providing a full day of operation. DGPS Base station optional
Trimble R1,Trimble,NA,NA,2015,0.112,0.026,0.068,0.187,Polycarbonate,,NA,NA,NA,NA,NA,10,NA,Yes,NA,,-20,60,95%; non-condensing,IP65,MIL-STD-810G,NA,NA,,44,44,GLONASS; BEIDOU; Galileo,WAAS; EGNOS; MSAS; GAGAN; SBAS ranging,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,USB;,NA,N,Y,,NA,NA,NA,NA,,2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,NA,GGA; GSV; RMC,NA,NA,NA,,NTRIP/VRS; RTX (IP/satellite)
APS-3m,Altus,NA,NA,2009,0.524,0.428,0.206,1.2,Lexan,,7.2,7.2,NA,2 Li-Ion 5000mAh,Cable,8,CE; FCC Class B Part 15,Y,N,,-20,65,95% non-condensing,IPX67,2m drop,Y,Y,,136,27,GPS; GLONASS; L1/L2,WAAS; EGNOS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.01,1,0.002,0.5,0.01,1,7,20,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data,Depends on Data Collector,,2 RS232,Y,N,NA,,N,Y,Bluetooth or Cable,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,NA,N,PC/Handheld,,NA
